select z.eno||','||case when instr(z.surveyid, ',')>0 then '"' || z.surveyid || '"' else z.surveyid end||','||case when instr(z.surveyname, ',')>0 then '"' || z.surveyname || '"' else z.surveyname end||','||s.sampleid||','||s.sampleno||','||s.sample_type||','||to_char(s.acquiredate, 'YYYY-MM-DD')||','||s.top_depth||','||s.base_depth||','||case when instr(s.comments, ',')>0 then '"' || s.comments || '"' else s.comments end||','||case when s.min_longitude is null then null else to_char(s.min_longitude) || ' / ' || to_char(s.min_latitude) end||','||case when s.max_longitude is null then null else to_char(s.max_longitude) || ' / ' || to_char(s.max_latitude) end||','||(s.min_waterdepth+nvl(s.max_waterdepth,s.min_waterdepth))/2||','|| sd.datano||','||sd.property||','||case when instr(sd.qualifier, ',')>0 then '"' || sd.qualifier || '"' else sd.qualifier end||','||sd.seq_no||','||sd.qual_value||','||sd.quant_value||','||sd.uom||','||sd.method||','||sd.confidence||','||to_char(sd.analysisdate, 'YYYY-MM-DD')||','||sd.obs_type||','||sd.batchno||','||case when instr(sd.comments, ',')>0 then '"' || sd.comments || '"' else sd.comments end from npm.web_mars_surveys z join npm.web_mars_samples s on s.eno = z.eno and s.ext_int = 'EXT'  and (1=1 or :C is null)  and sdo_anyinteract(s.geom, :G) = 'TRUE'    join npm.web_mars_sampledata sd on sd.sampleno = s.sampleno and sd.property = 'grain size' and sd.ext_int = 'EXT'  where z.ext_int = 'EXT'  and (1=1 or :F is null)  and (1=1 or :T is null)   order by z.surveyname, s.sampleid, s.sampleno, sd.method, sd.datano

SURVEY ENO,SURVEY ID,SURVEY NAME,SAMPLE ID,SAMPLE NO,SAMPLE TYPE,ACQUIRE DATE,TOP DEPTH,BASE DEPTH,SAMPLE COMMENTS,START POINT,END POINT,WATER DEPTH,DATANO,PROPERTY,QUALIFIER,SEQ_NO,TEXT VALUE,NUM VALUE,UOM,METHOD,CONFIDENCE,ANALYSIS DATE,OBSERVATION TYPE,BATCHNO,COMMENTS
40996,SO15,SONNE 15,62/588GS17/0_85,1406056,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4992782,grain size,geometric mean (sand fraction),1,,.3253,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
40996,SO15,SONNE 15,62/588GS17/0_85,1406056,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4992912,grain size,geometric sorting (sand fraction),1,,.6417,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
40996,SO15,SONNE 15,62/588GS17/0_85,1406056,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4993042,grain size,geometric skewness (sand fraction),1,,.7371,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
40996,SO15,SONNE 15,62/588GS17/0_85,1406056,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4993172,grain size,geometric kurtosis (sand fraction),1,,.7371,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
40996,SO15,SONNE 15,62/588GS17/200_400,1406057,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4992784,grain size,geometric mean (sand fraction),1,,.2073,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
40996,SO15,SONNE 15,62/588GS17/200_400,1406057,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4992914,grain size,geometric sorting (sand fraction),1,,.7684,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
40996,SO15,SONNE 15,62/588GS17/200_400,1406057,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4993044,grain size,geometric skewness (sand fraction),1,,5.4642,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
40996,SO15,SONNE 15,62/588GS17/200_400,1406057,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4993174,grain size,geometric kurtosis (sand fraction),1,,0,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
40996,SO15,SONNE 15,62/588GS17/400_600,1406058,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4992785,grain size,geometric mean (sand fraction),1,,.1934,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
40996,SO15,SONNE 15,62/588GS17/400_600,1406058,core,,,,Datum for cordinates is unknown but has been originally recored here as WGS84.,153.5597667 / -27.48405,,-23,4992915,grain size,geometric sorting (sand fraction),1,,.7631,mm,,,,unknown,unknown,Originally calculated using methods of moments in phi. Converted from phi to mm using mm=2-phi. (Lindholm. R. 1987.A practical approach to sedimentology. Allen & Unwin.)
